image,avg-shannon20-80,avg-shannon-nan20-80,avg-shannon80-160,avg-shannon-nan80-160,avg-shannon160-240,avg-shannon-nan160-240,first_order-shannon,edge-density
net_5013_5_BW.jpg,4.236300817808734,4.236300817808734,4.239136544039084,4.239136544039084,4.291993468478856,4.291993468478856,3.4276901794373353,51.35771939528869
net_5024_8_BW.jpg,4.527902001071603,4.527902001071603,4.510008771553119,4.510008771553119,4.4931763566550496,4.4931763566550496,4.506973246834228,12.280809911885607
net_5063_7_BW.jpg,4.220696764670992,4.220696764670992,4.247885235730573,4.247885235730573,4.1717530295355925,4.1717530295355925,4.1136631573741855,68.54394755123687
net_5193_0_BW.jpg,4.51097145083858,4.51097145083858,4.527412250707592,4.527412250707592,4.4857727957927604,4.4857727957927604,4.507021642892654,8.908949495197467
net_5210_4_BW.jpg,4.423465367542131,4.423465367542131,4.450152349446599,4.450152349446599,4.391556294597426,4.391556294597426,4.3774727822918,16.048282396871993
net_5225_1_BW.jpg,4.327066315558749,4.327066315558749,4.431535649564405,4.431535649564405,4.4147653227471135,4.4147653227471135,4.165828945216724,32.923325798693696
net_5250_6_BW.jpg,4.168832312008469,4.168832312008469,4.463707036627438,4.463707036627438,4.50577582524153,4.50577582524153,4.275046942949114,65.00662724496536
net_5278_4_BW.jpg,4.169087443493355,4.169087443493355,4.257753130028034,4.257753130028034,4.281023138411476,4.281023138411476,3.5975623749148125,65.97672651758967
net_5299_2_BW.jpg,4.105870481047876,4.105870481047876,4.337813182837295,4.337813182837295,4.447906180524308,4.447906180524308,3.798016409243576,7.189637077935631
net_5390_4_BW.jpg,4.326154118847234,4.326154118847234,4.511638510112027,4.511638510112027,4.500528358917927,4.500528358917927,4.418171335284196,39.224719208762835
net_5390_8_BW.jpg,4.350528149031737,4.350528149031737,4.394364251283449,4.394364251283449,4.4556538204179335,4.4556538204179335,3.90925698648347,57.19347996629356
net_5496_8_BW.jpg,4.425223817877153,4.425223817877153,4.466236550489344,4.466236550489344,4.516681968386689,4.516681968386689,4.439403091880545,3.879535334431744
