image,avg-shannon20-80,avg-shannon-nan20-80,avg-shannon80-160,avg-shannon-nan80-160,avg-shannon160-240,avg-shannon-nan160-240,first_order-shannon,edge-density
net_5013_5.jpg,4.235759106500229,4.235759106500229,4.23809056366009,4.23809056366009,4.291697431555773,4.291697431555773,3.4275929442227264,51.29071357512919
net_5024_8.jpg,4.52784530104525,4.52784530104525,4.510037768871524,4.510037768871524,4.496226131794648,4.496226131794648,4.5060446578805005,12.259009126873048
net_5063_7.jpg,4.221391433138181,4.221391433138181,4.248803889318955,4.248803889318955,4.173017293364784,4.173017293364784,4.1146884176573035,68.50821037113153
net_5193_0.jpg,4.510586589383639,4.510586589383639,4.527914539792872,4.527914539792872,4.486869606267712,4.486869606267712,4.506068925451295,8.864486729267263
net_5210_4.jpg,4.424231809994464,4.424231809994464,4.449263825293368,4.449263825293368,4.391897259400241,4.391897259400241,4.377265409711274,16.00228436007428
net_5225_1.jpg,4.326744820053526,4.326744820053526,4.431673946533705,4.431673946533705,4.416518747639841,4.416518747639841,4.165966612171354,32.9120986770456
net_5250_6.jpg,4.170214954782975,4.170214954782975,4.463951577930155,4.463951577930155,4.50574600285518,4.50574600285518,4.274618868694592,64.99449096230444
net_5278_4.jpg,4.166989081125332,4.166989081125332,4.255021072231126,4.255021072231126,4.278503437462994,4.278503437462994,3.5958613275620213,65.94923647835176
net_5299_2.jpg,4.104408265138876,4.104408265138876,4.334421413504503,4.334421413504503,4.446977527674901,4.446977527674901,3.7915717368683124,7.18169004537965
net_5390_4.jpg,4.324398181956983,4.324398181956983,4.511169303900983,4.511169303900983,4.4999984695347806,4.4999984695347806,4.418375274437837,39.135900032653915
net_5390_8.jpg,4.3496531072101545,4.3496531072101545,4.394062461039244,4.394062461039244,4.455753056375371,4.455753056375371,3.9094929685264423,57.149903468797696
net_5496_8.jpg,4.426385696122731,4.426385696122731,4.466147320242635,4.466147320242635,4.513131816800609,4.513131816800609,4.442494508985581,3.8341913752743215
