image,avg-shannon20-80,avg-shannon-nan20-80,avg-shannon80-160,avg-shannon-nan80-160,avg-shannon160-240,avg-shannon-nan160-240,first_order-shannon,edge-density
1.jpg,4.429607916919863,4.429607916919863,4.468529960825784,4.468529960825784,4.492061273844081,4.492061273844081,4.131245836403231,178.38136215718603
10.jpg,4.523943851831198,4.523943851831198,4.550358891703433,4.550358891703433,4.537583271196903,4.537583271196903,4.365891255170073,220.37263856682782
11.jpg,4.447305066546756,4.447305066546756,4.476783953020726,4.476783953020726,4.462948967890183,4.462948967890183,4.453946264428764,38.8759763937246
12.jpg,4.558886250031748,4.558886250031748,4.551349214768026,4.551349214768026,4.5522154063207125,4.5522154063207125,4.547564750511544,68.71932332448289
2.jpg,4.526294947388331,4.526294947388331,4.508909730479322,4.508909730479322,4.518271545258559,4.518271545258559,4.45692066929268,89.78733906518346
3.jpg,4.531847324673056,4.531847324673056,4.551326119353449,4.551326119353449,4.523264894250015,4.523264894250015,4.511257018988167,184.77914352521012
4.jpg,4.14699040354192,4.14699040354192,4.239185161523231,4.239185161523231,3.905240625703184,3.905240625703184,3.998117642528165,85.68780002310388
5.jpg,4.487537111413947,4.487537111413947,4.5145942529130725,4.5145942529130725,4.509746252228361,4.509746252228361,4.5375911456413345,161.2282136331139
6.jpg,4.489668589472164,4.489668589472164,4.5326061891100515,4.5326061891100515,4.525418030353778,4.525418030353778,4.559860452073509,188.0433095875858
7.jpg,4.4544710520226305,4.4544710520226305,4.472737462883062,4.472737462883062,4.3852136038304845,4.3852136038304845,4.443930931783068,67.87776967265883
8.jpg,4.402529981333903,4.402529981333903,4.490736692765106,4.490736692765106,4.456855258649329,4.456855258649329,4.475906324635767,50.397594721799486
9.jpg,4.0451401199502115,4.0451401199502115,4.185301946992693,4.185301946992693,3.6718031328016267,3.6718031328016267,3.8816133004375235,2.562952310860461
