files,set,Self-Similarity,Complexity,Anisotropy
10_BW.jpg,art,0.7208997643748744,17.614630545112995,0.0002851603586446973
11_BW.jpg,art,0.4784632423622499,6.919036694867981,0.00023904732103094027
12_BW.jpg,art,0.7512985295250986,13.539255810406228,0.00015860122930338853
1_BW.jpg,art,0.8024166735355348,10.631162001319643,0.00026248038507159933
2_BW.jpg,art,0.6723720273871306,8.20337975843056,0.0003494330606171717
3_BW.jpg,art,0.7922611700392723,10.391083413626873,0.00016477717985476382
4_BW.jpg,art,0.5854340410852152,2.8488154402932215,0.0007904158903021565
5_BW.jpg,art,0.7686362970002766,22.786370894622614,0.000381599454364802
6_BW.jpg,art,0.7385226051626678,14.157535071815788,0.00031761255366908437
7_BW.jpg,art,0.6158879093517177,6.43802785563303,0.0001962413722768434
8_BW.jpg,art,0.685665267653489,2.5932062840729726,0.00046539006755911465
9_BW.jpg,art,0.22891258394344205,0.05814713451241264,0.0017449938700619756
