files,set,Self-Similarity,Complexity,Anisotropy
net_5013_5_BW.jpg,pseudoart,0.5604251214121713,2.3198867341395992,0.0005821635896268335
net_5024_8_BW.jpg,pseudoart,0.6709983291080054,0.9875564996288879,0.0003346570193612074
net_5063_7_BW.jpg,pseudoart,0.6557872948652205,2.8275557877562223,0.0004188209811660012
net_5193_0_BW.jpg,pseudoart,0.781539294590865,0.5758699804026203,0.0005189179135881304
net_5210_4_BW.jpg,pseudoart,0.5881611342394181,0.7306471383256272,0.0005016102900785903
net_5225_1_BW.jpg,pseudoart,0.8236194853564465,2.0673014611054463,0.000252856330967467
net_5250_6_BW.jpg,pseudoart,0.8672745450132832,2.757646405726133,0.00017174968314889768
net_5278_4_BW.jpg,pseudoart,0.7947988604999149,2.10412604376222,0.0005072457753059567
net_5299_2_BW.jpg,pseudoart,0.8060453615862103,0.5584929877236989,0.0004752614174048979
net_5390_4_BW.jpg,pseudoart,0.885723254717372,2.7747365711830527,0.0002235312669670529
net_5390_8_BW.jpg,pseudoart,0.6453433496599239,1.8890283628801896,0.000495184175869199
net_5496_8_BW.jpg,pseudoart,0.6485628935078199,0.2343592297956393,0.0008246470538222383
