image,set,Fourier slope,SIGMA
10_BW.jpg,art,-1.7238947110093845,0.006054022229586724
11_BW.jpg,art,-1.685491391125113,0.0040639258329802745
12_BW.jpg,art,-0.8781098057412837,0.017400511566845654
1_BW.jpg,art,-2.5492188317308,0.001751915833553525
2_BW.jpg,art,-2.1851734808961933,0.0023696735347370373
3_BW.jpg,art,-2.7223377192458007,0.002193780115170662
4_BW.jpg,art,-3.6069931105487156,0.0028440425654254827
5_BW.jpg,art,-1.2494295297282143,0.002866567252863022
6_BW.jpg,art,-1.907795940371095,0.004066938166367585
7_BW.jpg,art,-2.1269906103046465,0.00849556696564886
8_BW.jpg,art,-2.777733384857093,0.0009130936765542913
9_BW.jpg,art,-3.3711534818546687,0.003405898380441662
